,company,,date,url,title
,Jobright.ai,,05/14/2026,https://www.linkedin.com/jobs/view/4414769830/,Software Engineer
,Rotaract Club of Gaborone,,05/16/2026,https://www.linkedin.com/jobs/view/4415418050/,Software Engineer (Entry-Level / Associate)
,Jobright.ai,,05/16/2026,https://www.linkedin.com/jobs/view/4415177867/,AI Engineer
,SharpAtoms,,05/16/2026,https://www.linkedin.com/jobs/view/4415131542/,Full-Stack Developer (Java / Spring Boot / React)
,Arbor,,05/16/2026,https://www.linkedin.com/jobs/view/4415404415/,Artificial Intelligence Engineer
,My Healing Work™,,05/16/2026,https://www.linkedin.com/jobs/view/4415405317/,Back End Engineering Intern
,VySystems,,05/16/2026,https://www.linkedin.com/jobs/view/4415883297/,SDET with React
,AMD,,05/16/2026,https://www.linkedin.com/jobs/view/4356472703/,Systems Software Engineer - Data Center GPU
,Rotaract Club of Gaborone,,05/16/2026,https://www.linkedin.com/jobs/view/4415406322/,Software Engineer (Entry-Level / Associate)
,Jobright.ai,,05/16/2026,https://www.linkedin.com/jobs/view/4415417108/,AI Engineer
,ATC,,05/16/2026,https://www.linkedin.com/jobs/view/4407967498/,AI Developer (Internship only OPT )
,The Antifraud Company,,05/16/2026,https://www.linkedin.com/jobs/view/4416002233/,Software Engineer
,Jobright.ai,,05/16/2026,https://www.linkedin.com/jobs/view/4415413226/,Data Analyst
,Jobright.ai,,05/16/2026,https://www.linkedin.com/jobs/view/4415198596/,Data Scientist
,"OBElabs ( jobs in edtech - UPSC,PCS,SSC,Banking & other competitive exams coaching institutes)",,05/16/2026,https://www.linkedin.com/jobs/view/4415183935/,Data Scientisr
,PSI Pipeline Services International,,05/16/2026,https://www.linkedin.com/jobs/view/4415197697/,Dat Entr Analyst
,SharpAtoms,,05/16/2026,https://www.linkedin.com/jobs/view/4415148400/,Artificial Intelligence Engineer (Python / GenAI Apps)
,Jobright.ai,,05/16/2026,https://www.linkedin.com/jobs/view/4415197756/,Software Engineer
